qid,docid,docno,text,query,score,rank
q_2,1144851,1144851,Beat It-Record of the Year(1984). Thriller (with Quincy Jones)- Producer of the Year (1984). Billie Jean-Best R&B Song (1984). Someone in the Dark-Best Recording for Children (Narration) (1984). Thriller-Best Male Vocal Performance (Pop) (1984). Billie Jean-Best Male Vocal Performance (R&B) (1984). Beat It-Best Male Vocal Performance (Rock) (1984). The Making of Thriller-Best Long Form Video (1985). We Are the World-Song of the Year (1986).,Who performed Thriller,70.7241429800415,1.0
q_2,7890244,7890244,"1983 Thriller (Thriller) This is probably the best known of Michaels short films. In it he transforms, through the magic of film and makeup, into a werewolf and a zombie and performs an incredible dance sequence. The Thriller short film has been called the greatest music video in history. Cost $800,000.",Who performed Thriller,49.86577405140679,2.0
q_2,8730883,8730883,"1. Thriller was written for Michael Jackson by songwriter Rod Temperton, who originally titled the song Starlight (with the hook Starlight, starlight sun instead of Thriller, thriller night).",Who performed Thriller,35.844071555932715,3.0
q_2,2110155,2110155,"That its a thriller, thriller night. Cause I can thrill you more than any ghost who would dare to try. Girl, this is thriller, thriller night. So let me hold you tight and share a killer, diller, chiller. Thriller here tonight. Rap:(by Vincent Price.",Who performed Thriller,32.29640716345875,4.0
q_2,4430424,4430424,"Ola Ray, who appeared in 'Thriller' video alongside Michael Jackson, is suing over royalties. LOS ANGELES-The former Playboy centerfold who played Michael Jackson 's crush in his legendary Thriller video wants a jury to end her nightmare of trying to collect royalties.la Ray, who appeared in 'Thriller' video alongside Michael Jackson, is suing over royalties. LOS ANGELES-The former Playboy centerfold who played Michael Jackson 's crush in his legendary Thriller video wants a jury to end her nightmare of trying to collect royalties.",Who performed Thriller,32.16640235246905,5.0
q_2,8715331,8715331,"At last I was on the phone with man who murdered John Wayne. Bruce Dern, a 79-year-old two-time Oscar nominee, has done movies and TV. He has performed in Westerns, thrillers, biker movies and science fiction films.",Who performed Thriller,18.10579572393999,6.0
q_2,2809694,2809694,"His nephew Jamie Hall, is a stunt performer, who is best known as the Ice Bear performer in the Natural horror/thriller film Unnatural. While working on the TV series Harry and the Hendersons, Hall announced that he had contracted HIV from a blood transfusion.",Who performed Thriller,-7.274320752404947,7.0
q_2,7284375,7284375,Rotten: 65. 1  Critics Consensus: Jack Reacher is an above-average crime thriller with a smoothly charismatic performance from Tom Cruise. 2  Critics Consensus: Jack Reacher is an above-average crime thriller with a smoothly charismatic performance from Tom Cruise.,Who performed Thriller,-16.37909160036361,8.0
q_2,7284376,7284376,Jack Reacher (2012) TOMATOMETER. Critics Consensus: Jack Reacher is an above-average crime thriller with a smoothly charismatic performance from Tom Cruise. Critics Consensus: Jack Reacher is an above-average crime thriller with a smoothly charismatic performance from Tom Cruise.,Who performed Thriller,-18.090483159572614,9.0
q_2,7719184,7719184,"Know the style that thriller novels are written in. 2. Decide what type of thriller novel you're going to write. Yes, there are more than one type. Each type focuses on different parts of the story, or will affect the storyline. Here's the most common types of thriller novels: Psychological Thriller. If you write this type of thriller, you'll need to focus more on the characters in your novel. Psychological Thrillers must include someone who is crazy or mentally disturbed.",Who performed Thriller,-107.25869831490763,10.0
q_2,3015655,3015655,"Thriller (song) Thriller is a song recorded by American singer Michael Jackson, composed by Rod Temperton, and produced by Quincy Jones. It is the seventh and final single released by Epic Records from his 1982 studio album Thriller. A 14-minute video showing Jackson in a horror-themed performance premiered on November 14, 1983.",Who performed Thriller,-107.25879831490764,11.0
q_2,1188688,1188688,"Thriller is a song recorded by American singer Michael Jackson, composed by Rod Temperton, and produced by Quincy Jones. It is the seventh and final single released by Epic Records from his 1982 studio album Thriller. A 14-minute video showing Jackson in a horror-themed performance premiered on November 14, 1983.",Who performed Thriller,-107.25904055097797,12.0
q_2,1096883,1096883,"Thriller Live becomes the 16th Longest-Running Musical of all Time. Thriller Live, the concert spectacular that was created to celebrate the career of Michael Jackson and The Jackson Five, has now become the 16th longest running musical in the West End. On 18 December the cast performed the 3,304th show at the Lyric Theatre, overtaking Me & My Girl which opened in 1985.",Who performed Thriller,-107.28598459269577,13.0
q_2,3358279,3358279,"Human Nature (Michael Jackson song) Human Nature is a song performed by American recording artist Michael Jackson released on his solo album, Thriller (1982). The lyrics describe a passer-by in New York City. It was written and composed by Steve Porcaro and John Bettis, and produced by Quincy Jones. It is the fifth single from Jackson's sixth solo album, Thriller (1982).",Who performed Thriller,-107.30773718487197,14.0
q_2,2274502,2274502,"Scandal type TV Show genre Drama, Thriller run date 04/05/12 performer Kerry Washington, Tony Goldwyn, Bellamy Young broadcaster ABC seasons 7 Current Status In Season tvpgr TV-14",Who performed Thriller,-107.3426332680481,15.0
q_2,2734633,2734633,"Except, in a sense, Jackson did top it, and he did it within months after Thriller's release. It came during a May 16th, 1983, TV special celebrating Motown's 25th anniversary. Jackson had just performed a medley of greatest hits with his brothers. It was exciting stuff, but for Michael it wasn't enough.",Who performed Thriller,-107.36501128058606,16.0
q_2,8375433,8375433,"Genre: Crime, Drama, Thriller. Rating: R (Restricted) Runtime: 122 minutes. A powerhouse performance by Denzel Washington fuels this brutal urban police drama, in which a rookie narcotics cop learns the hard way that even good cops can go very, very bad.",Who performed Thriller,-107.40266286413842,17.0
